Date;STOXX50E
10/4/15;12,020019
13/4/15;-44,25
14/4/15;19,02002
15/4/15;-51,830078
16/4/15;-77,669922
17/4/15;43,98999
20/4/15;1,339844
21/4/15;5,110107
22/4/15;-26,610107
23/4/15;16,080078
24/4/15;57,48999
27/4/15;-56,030029
28/4/15;-98,309815
29/4/15;-1,520019
30/4/15;17,349853
4/5/15;-86,379882
5/5/15;11,46997
6/5/15;-1,820068
7/5/15;93,270019
8/5/15;-25,070068
11/5/15;-51,309814
12/5/15;-19,680176
13/5/15;19,650146
15/5/15;16,149903
18/5/15;81,300049
19/5/15;12,95996
20/5/15;5,239991
21/5/15;-9,580078
22/5/15;-59,839844
26/5/15;63,570068
27/5/15;-32,160156
28/5/15;-79,929932
29/5/15;4,26001
1/6/15;-13,150146
2/6/15;21,930175
3/6/15;-27,440185
4/6/15;-46,369873
5/6/15;-41,699951
8/6/15;-11,52002
9/6/15;69,689941
10/6/15;25,429932
11/6/15;-49,139892
12/6/15;-64,699952
15/6/15;16,02002
16/6/15;-25,330078
17/6/15;21,689941
18/6/15;5,350098
19/6/15;140,270019
22/6/15;29,899903
23/6/15;-15,02002
24/6/15;-0,040039
25/6/15;10,460205
26/6/15;-152,470215
29/6/15;-44,599853
30/6/15;71,97998
1/7/15;-33,030029
2/7/15;-21,48999
3/7/15;-76,560059
6/7/15;-71,01001
7/7/15;33,310059
8/7/15;92,530029
9/7/15;108,78003
10/7/15;61,619873
13/7/15;16,760009
14/7/15;16,680176
15/7/15;52,539795
16/7/15;-6,069824
17/7/15;16,23999
20/7/15;-38,620117
21/7/15;-12,379883
22/7/15;-0,940185
23/7/15;-34,639893
24/7/15;-86,899902
27/7/15;41,010009
28/7/15;21,419922
29/7/15;8,26001
30/7/15;16,899902
31/7/15;34,709961
3/8/15;-16,089843
4/8/15;57,439941
5/8/15;-8,280029
6/8/15;-30,669922
7/8/15;37,139892
10/8/15;nan
11/8/15;nan
12/8/15;31,73999
13/8/15;-25,119873
14/8/15;6,869873
17/8/15;-2,520019
18/8/15;-65,539795
19/8/15;-76,360108
20/8/15;-106,21997
21/8/15;-173,870117
24/8/15;144,620117
25/8/15;-47,28003
26/8/15;110,050049
27/8/15;5,810059
28/8/15;-16,960205
31/8/15;-80,899903
1/9/15;10,130127
2/9/15;71,229981
3/9/15;-89,840088
4/9/15;17,719971
7/9/15;35,870117
8/9/15;36,139892
9/9/15;-48,840087
10/9/15;-33,199952
11/9/15;-12,319824
14/9/15;31,979981
15/9/15;44,189941
16/9/15;4
17/9/15;-98,48999
18/9/15;27,419922
21/9/15;-108,669922
22/9/15;3,939941
23/9/15;-60,649902
24/9/15;93,819824
25/9/15;-73,719971
28/9/15;-9,579834
29/9/15;70,809815
30/9/15;-31,619873
1/10/15;19,129883
2/10/15;102,209961
5/10/15;29,700195
6/10/15;6,309814
7/10/15;-1,439941
8/10/15;25,350098
9/10/15;-2,979981
12/10/15;-26,050049
13/10/15;-29,709961
14/10/15;47,239991
15/10/15;26,119873
16/10/15;7,110107
19/10/15;-16,320068
20/10/15;16,510009
21/10/15;80,880127
22/10/15;72,699952
23/10/15;-11,209961
26/10/15;-33,590088
27/10/15;40,080078
28/10/15;-7,700195
29/10/15;4,840087
30/10/15;16,27002
