Date,Open,High,Low,Close,Adj Close,Volume
2014-05-12,1383.989990,1395.709961,1383.989990,1394.560059,1394.560059,0
2014-05-13,1394.550049,1399.500000,1393.900024,1398.790039,1398.790039,0
2014-05-14,1399.130005,1399.689941,1394.680054,1398.369995,1398.369995,0
2014-05-15,1398.000000,1403.180054,1384.969971,1387.250000,1387.250000,0
2014-05-16,1387.010010,1390.900024,1380.439941,1390.819946,1390.819946,0
2014-05-19,1390.459961,1390.459961,1377.680054,1388.459961,1388.459961,0
2014-05-20,1390.329956,1391.500000,1384.380005,1386.520020,1386.520020,0
2014-05-21,1385.859985,1395.270020,1379.599976,1394.869995,1394.869995,0
2014-05-22,1392.979980,1399.410034,1391.989990,1396.839966,1396.839966,0
2014-05-23,1397.290039,1400.390015,1392.650024,1399.239990,1399.239990,0
2014-05-27,1406.839966,1411.660034,1406.599976,1409.949951,1409.949951,0
2014-05-28,1408.969971,1409.780029,1405.489990,1409.040039,1409.040039,0
2014-05-29,1409.520020,1411.079956,1407.900024,1410.130005,1410.130005,0
2014-05-30,1409.880005,1411.650024,1406.520020,1408.109985,1408.109985,0
2014-06-02,1408.069946,1413.300049,1407.660034,1411.189941,1411.189941,0
2014-06-03,1411.349976,1411.349976,1402.910034,1405.550049,1405.550049,0
2014-06-04,1407.000000,1407.000000,1399.729980,1405.060059,1405.060059,0
2014-06-05,1405.760010,1421.890015,1402.079956,1410.939941,1410.939941,0
2014-06-06,1407.380005,1420.329956,1407.380005,1419.689941,1419.689941,0
2014-06-09,1419.640015,1425.670044,1419.640015,1425.520020,1425.520020,0
2014-06-10,1424.939941,1430.380005,1422.949951,1430.099976,1430.099976,0
2014-06-11,1430.260010,1430.849976,1420.229980,1422.810059,1422.810059,0
2014-06-12,1421.280029,1427.530029,1420.599976,1423.010010,1423.010010,0
2014-06-13,1421.650024,1426.300049,1411.930054,1420.869995,1420.869995,0
2014-06-16,1418.089966,1421.359985,1413.709961,1414.979980,1414.979980,0
2014-06-17,1416.329956,1421.430054,1413.140015,1419.459961,1419.459961,0
2014-06-18,1419.189941,1424.170044,1418.290039,1418.920044,1418.920044,0
2014-06-19,1412.719971,1430.699951,1412.719971,1426.800049,1426.800049,0
2014-06-20,1426.849976,1430.900024,1424.930054,1426.310059,1426.310059,0
2014-06-23,1423.849976,1426.969971,1416.329956,1419.630005,1419.630005,0
2014-06-24,1417.750000,1423.979980,1414.160034,1417.400024,1417.400024,0
2014-06-25,1414.270020,1416.239990,1398.130005,1402.109985,1402.109985,0
2014-06-26,1401.959961,1405.810059,1394.810059,1400.619995,1400.619995,0
2014-06-27,1400.239990,1405.010010,1398.410034,1401.670044,1401.670044,0
2014-06-30,1400.390015,1406.819946,1396.349976,1400.880005,1400.880005,0
2014-07-01,1401.150024,1413.790039,1400.920044,1413.599976,1413.599976,0
2014-07-02,1413.859985,1420.060059,1413.619995,1416.250000,1416.250000,0
2014-07-03,1416.150024,1430.119995,1415.390015,1429.969971,1429.969971,0
2014-07-07,1427.930054,1427.930054,1412.589966,1412.939941,1412.939941,0
2014-07-08,1413.300049,1415.359985,1393.869995,1394.089966,1394.089966,0
2014-07-09,1393.739990,1396.800049,1388.790039,1394.329956,1394.329956,0
2014-07-10,1394.380005,1394.420044,1372.459961,1379.989990,1379.989990,0
2014-07-11,1379.589966,1386.410034,1376.650024,1382.209961,1382.209961,0
2014-07-14,1380.939941,1395.739990,1380.939941,1393.520020,1393.520020,0
2014-07-15,1394.439941,1396.390015,1387.939941,1388.489990,1388.489990,0
2014-07-16,1390.030029,1408.060059,1388.449951,1407.199951,1407.199951,0
2014-07-17,1407.510010,1407.510010,1392.319946,1393.329956,1393.329956,0
